clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
218 203 7 7 2 MRK-OBT Markhamia-obtusifolia XXX XXX 19.5 2 N -1 -1 -1
218 203 7 8 1 FIC Ficus-sp. XXX XXX 45 7 N -1 -1 -1
218 203 7 8 2 FIC Ficus-sp. XXX XXX 48 1 N 88 10 4
218 203 7 8 3 FIC Ficus-sp. XXX XXX 48 2 N -1 -1 -1
218 203 7 9 1 STR Strychnos-sp. XXX XXX 11 1 N -1 -1 -1
218 203 7 9 2 STR Strychnos-sp. XXX XXX 15 1 N -1 -1 -1
218 203 7 10 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 24 -1 N -1 11 5
218 203 8 1 1 ALB Albizia-sp. XXX XXX 3 1 N 4 2.5 -1
218 203 8 2 1 ALB Albizia-sp. XXX XXX 5 1 N -1 -1 -1
218 203 9 1 1 ANN-SEN Annona-senegalensis XXX XXX 5 1 N -1 -1 -1
218 203 9 1 2 ANN-SEN Annona-senegalensis XXX XXX 6 1 N -1 -1 -1
218 203 9 1 3 ANN-SEN Annona-senegalensis XXX XXX 6 1 N -1 -1 -1
218 203 9 1 4 ANN-SEN Annona-senegalensis XXX XXX 7 1 N -1 -1 -1
188 187 10 1 1 MLT-STU Millettia-stuhlmannii XXX XXX 24.3 7 N -1 -1 -1
188 187 10 2 1 MLT-STU Millettia-stuhlmannii XXX XXX 8.3 1 N -1 -1 -1
188 187 10 3 1 MLT-STU Millettia-stuhlmannii XXX XXX 5.7 1 N -1 -1 5.5
188 187 10 4 1 CMB-SCH Combretum-schumannii XXX XXX 26.7 1 N -1 -1 -1
188 187 10 5 1 CMB-SCH Combretum-schumannii XXX XXX 8.5 1 N -1 -1 -1
188 187 10 6 1 CMB-SCH Combretum-schumannii XXX XXX 16 1 N 24.5 9 -1
188 187 10 7 1 LON Lonchocarpus-sp. XXX XXX 10.7 1 N -1 -1 -1
188 187 10 8 1 LON Lonchocarpus-sp. XXX XXX 20.7 1 N -1 -1 4
188 187 10 9 1 HOL Holarrhena-sp. XXX XXX 10.8 1 N -1 -1 -1
188 187 10 10 1 VIT-KEN Vitex-keniensis XXX XXX 24.2 7 N -1 -1 -1
188 187 10 11 1 CMB-SCH Combretum-schumannii XXX XXX 21.8 1 N -1 -1 6.5
188 187 10 12 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 23 1 N 28.5 15 7
188 187 10 13 1 MLT-STU Millettia-stuhlmannii XXX XXX 27 1 N -1 -1 5
188 187 10 14 1 XRD-STU Xeroderris-stuhlmannii XXX XXX 20.5 1 N -1 -1 4.5
188 187 10 15 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 39.5 1 N -1 -1 6
188 187 10 16 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 33 1 N -1 -1 6
188 187 10 17 1 VIT-KEN Vitex-keniensis XXX XXX 19.5 7 N -1 -1 -1
188 187 9 1 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 28.2 1 N 33 9.5 3.5
188 187 9 2 1 MLT-STU Millettia-stuhlmannii XXX XXX 20 7 N -1 -1 -1
188 187 9 3 1 DAL-NIT Dalbergia-nitidula XXX XXX 11.9 1 N -1 -1 -1
188 187 9 4 1 CMB-SCH Combretum-schumannii XXX XXX 10.7 1 N -1 -1 -1
188 187 9 5 1 CMB-SCH Combretum-schumannii XXX XXX 18.3 1 N -1 -1 -1
188 187 9 6 1 PSL-MAP Pseudolachnostylis-maprouneifolia XXX XXX 32.8 1 N -1 -1 4
188 187 9 7 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 25.8 1 N 28.5 13.5 6.5
188 187 9 8 1 PSL-MAP Pseudolachnostylis-maprouneifolia XXX XXX 30 1 N -1 -1 2
188 187 9 9 1 MLT-STU Millettia-stuhlmannii XXX XXX 39.5 7 N -1 -1 -1
188 187 9 10 1 CMB-SCH Combretum-schumannii XXX XXX 20.5 1 N -1 -1 2.5
188 187 9 11 1 XRD-STU Xeroderris-stuhlmannii XXX XXX 24.2 1 N -1 -1 2.5
188 187 9 12 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 39.7 1 N -1 -1 7
188 187 9 13 1 XRD-STU Xeroderris-stuhlmannii XXX XXX 38 1 N 39.5 17 5
188 187 8 1 1 CMB-MOL Combretum-molle XXX XXX 18.3 1 N -1 -1 -1
188 187 8 2 1 CMB-SCH Combretum-schumannii XXX XXX 3.5 7 N -1 -1 -1
188 187 8 3 1 MNT Monotes-sp. XXX XXX 11 7 N -1 -1 -1
188 187 8 3 2 MNT Monotes-sp. XXX XXX 8.5 7 N -1 -1 -1
188 187 8 3 3 MNT Monotes-sp. XXX XXX 6 7 N -1 -1 -1
188 187 8 4 1 OCH-HOL Ochna-holstii XXX XXX 10.8 7 N -1 -1 -1
188 187 8 5 1 XRD-STU Xeroderris-stuhlmannii XXX XXX 5.8 1 N -1 -1 -1
188 187 8 6 1 CMB-MOL Combretum-molle XXX XXX 17.2 1 N -1 -1 -1
188 187 8 7 1 CMB-MOL Combretum-molle XXX XXX 20.9 1 N 25.5 11 4.5
188 187 8 8 1 CMB-MOL Combretum-molle XXX XXX 10 1 N -1 -1 -1
188 187 8 9 1 CMB-MOL Combretum-molle XXX XXX 17.3 1 N -1 -1 -1
188 187 8 10 1 CMB-SCH Combretum-schumannii XXX XXX 13 1 N -1 -1 -1
188 187 8 11 1 CMB-MOL Combretum-molle XXX XXX 17 1 N -1 -1 -1
188 187 8 12 1 CMB-MOL Combretum-molle XXX XXX 11.5 1 N 18 8 -1
188 187 8 13 1 PSL-MAP Pseudolachnostylis-maprouneifolia XXX XXX 15.4 1 N -1 -1 -1
188 187 8 14 1 CMB-MOL Combretum-molle XXX XXX 22 1 N -1 -1 6
188 187 8 15 1 CMB-SCH Combretum-schumannii XXX XXX 14.3 1 N -1 -1 -1
188 187 8 16 1 CMB-SCH Combretum-schumannii XXX XXX 18.3 1 N -1 -1 -1
188 187 8 17 1 CMB-MOL Combretum-molle XXX XXX 24.5 1 N 33.5 11 7
188 187 8 18 1 CMB-MOL Combretum-molle XXX XXX 22.5 1 N -1 -1 6.5
188 187 8 19 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 25.4 1 N -1 -1 2
188 187 8 20 1 CMB-SCH Combretum-schumannii XXX XXX 21.5 1 N -1 -1 2
188 187 8 21 1 CMB-MOL Combretum-molle XXX XXX 27.8 1 N -1 -1 7
188 187 7 1 1 CMB-SCH Combretum-schumannii XXX XXX 4 1 N 6.4 5 -1
188 187 7 2 1 CMB-SCH Combretum-schumannii XXX XXX 15.4 1 N -1 -1 -1
188 187 7 2 2 CMB-SCH Combretum-schumannii XXX XXX 21 1 N -1 -1 -1
188 187 7 3 1 HOL-FEB Holarrhena-febrifuga XXX XXX 2.2 1 N -1 -1 -1
188 187 7 4 1 DAL-NIT Dalbergia-nitidula XXX XXX 2.6 1 N -1 -1 -1
188 187 7 5 1 DAL-NIT Dalbergia-nitidula XXX XXX 1 7 N -1 -1 -1
188 187 7 6 1 CMB-SCH Combretum-schumannii XXX XXX 7 1 N 9.5 6 -1
188 187 7 7 1 CMB-SCH Combretum-schumannii XXX XXX 5 1 N -1 -1 -1
188 187 7 8 1 CMB-SCH Combretum-schumannii XXX XXX 7.5 1 N -1 -1 -1
188 187 7 9 1 CMB-SCH Combretum-schumannii XXX XXX 10.7 1 N -1 -1 -1
188 187 7 10 1 CMB-SCH Combretum-schumannii XXX XXX 17.4 1 N -1 -1 -1
188 187 7 11 1 CMB-MOL Combretum-molle XXX XXX 16.4 1 N 21.3 8.5 -1
188 187 7 12 1 CMB-SCH Combretum-schumannii XXX XXX 18.5 1 N -1 -1 -1
188 187 7 13 1 BSC-SAL Boscia-salicifolia XXX XXX 60.6 1 N -1 -1 5
188 187 7 14 1 CMB-SCH Combretum-schumannii XXX XXX 41 1 N -1 -1 4
